;;
Массив дерева кроватью [50019997] ;5000;
Ткань кровати [50019999] ;500;
Кожаная кровать [50020000] ;5000;
Мебель из ротанга кровать [50020001] ;5000;
Каркасы для кроватей [50015651] ;5000;
Надувной [50020626] ;5000;
Диван-кровать / НПД кровать [50020627] ;5000;
Архат кровать [50022451] ;5000;
 Аксессуары, фурнитура для кроватей [50020629];1000;
;;
;;
;;
;;
;;
Обыкновенные матрасы [50021840] ;3000;
Вода матрас [50020625] ;500;
Круглый матрас [50022571];5000;
;;
;;
;;
;;
;;
;5000;
;5000;
;5000;
;5000;
;5000;
;5000;
;5000;
;5000;
;1500;
;5000;
;2000;
;;
;;
;;
;;
;;
Комплектующие для стульев [50015638] ;500;
Стулья [50015461] ;5000;(разве это конечная категория??)
Табуреты [50015462] ;1500;(разве это конечная категория??)
;;
;;
;;
;;
;;
Столики для кана (на низких ножках) [50015880] ;5000;
Телефонные столики/Угловые столики [50015847];700;
 Комплекты столов [50015879] ;5000;
 Чайные столики [50001709] ;1000;
Другие виды столиков [50015955] ;500;
;;
;;
;;
;;
;;
Тумбы под телевизор [211509] ;3000;
Прикроватные тумбочки [50001382];5000;
Комплектующие для шкафов [50015642] ;500;
 Обычные гардеробные шкафы [50008399] ;1500;
Гардеробные [50015744] ;1500;
;5000;
;2000;
Шкафы для вина [50001405] ;5000;
Буфеты [50008276];5000;
Другие виды шкафов [50001407] ;2000;
Угловые шкафы [50015733] ;5000;
Шкафы в коридор [50015734];5000;
Будда шкаф / Храм [50022489] ;5000;
Парные книжные шкафы [50015887] ;5000;
Домашние аптечки [50015739];2000;
Комоды [50015740];5000;
Книжные шкафы [50015885] ;5000;
Висячий шкаф ванной комнаты [50020645];2000;
;;
;;
;;
;;
;;
Столы [50001403] ;5000;
Таблицы [50022492];5000;
Складные столы [50001415] ;5000;
Комплектующие для столов [50015639] ;500;
Туалетные столики /Трельяжи [50001385] ;5000;
Маджонг-столы [50010098];900;
Столы для ноутбуков [50003823] ;1000;
Столики в стиле династии Цинь [50015821] ;5000;
Шахматные столики [50015822] ;900;
Другие виды столов [211502] ;500;
;;
;;
;;
;;
;;
Книжная полка [50022699];5000;
;500;
Другие виды полок/стеллажей [50008324];500;
Обувные стеллажи [50006533];2000;
;500;
Вешалки [50001412];100;
Стойка под CD [50015924] ;350;
Полка для вина [50015922] ;500;
Подставки для цветов [50005527];500;
Открытая полка над умывальником [50015930] ;500;
Подставка для зонтов [50015921] ;500;
;500;
;;
;;
;;
;;
;;
;5000;
;1000;
;5000;
;2500;
;;
;;
;;
;;
;;
Туалетная Зеркало [50020957] ;200;
 Зеркало [50020958] ;500;
;500;
 Другие [50020960] ;500;
;;
;;
;;
;;
;;
;1200;
;5000;
;1200;
;1000;
;500;
;;
;;
;;
;;
;;
 Резной журнальный стол [50020945];5000;
Резные цветок [50020946] ;5000;
Резные чайным столом [50020947] ;500;
 Резные стулья [50020948];500;
Другие [50020949];5000;
;;
;;
;;
;;
;;
Ширмы [50015916] ;1000;
Напольные ширмы [50015917] ;1000;
Настенные панно и ширмы [50015918];2000;
 Миниатюрные декоративные ширмы (панели) [50015919] ;1000;
;;
;;
;;
;;
;;
;5000;
;5000;
;5000;
;5000;
;;
;;
;;
;;
;;
;5000;
;5000;
;5000;
;3000;
;2000;
;5000;
;5000;
;;
;;
;;
