;Свадебные платья [162701] ;2000
;Свадебные перчатки [50009043];100
;Свадебные кринолины [50003812];800
;Свадебные украшения для волос [50009042];100
;Фата [50003811] ;400
;Свадебные короны и диадемы [50009041] ;190
;Цветы на руку [50026085] ;200
;Броши [50023040] ;100
;Прочие свадебные аксессуары [50003814] ;100
;;900
;;900
;;150
;;190
;;
;Свадебные арки [50023046];70
;Декоративные украшения из ткани [50023061];100
; Воздушные шары / Насосы / Аксессуары [50023049];200
;Товары для оформления свадебных церемоний [50023045];70
;Свадебные цветы / Цветочные украшения [50023047] ;200
;Cвадебные подарочные коробки [50010042] ;100
;Свадебные куклы [50023041] ;100
; Подсвечники [50026328];100
;Лепестки [50023044];70
;Свечи [50018426] ;100
;Гирлянды [50018424] ;100
;Китайские фонари [50021417] ;100
;Свадебные печати [50023043] ;100
;Свадебные аксессуары [50007278] ;100
;Свадебные приглашения [50010020] ;20
;Декоративные светильники [50021420] ;100
;Свадебные приглашения / Открытки [50005251];30
;Свадебные открытки / Ручки для росписи в ЗАГСе [50010022] ;30
;Прочие свадебные товары [50003854];100
;;
;;
 Все для дома и хобби [21] ;;
 Свадебный и праздничный декор [2801];;
