;;
 Очки для плавания [50016744] ;350;
 Детские плавки и купальники [50016740];200;
 Парео [50016743];200;
 Раздельные купальники [50016737] ;350;
 Плавательные костюмы [50016738];300;
 Бикини [50016736] ;300;
 Пляжные шорты [50023561];200;
 Мужские плавки [50016739];150;
 Игрушки для игр в воде [50023344];400;
 Спасательные жилеты [50016762];500;
 Шапочки для плавания [50016747] ;100;
Плавательные круги [50016749];400;
Сумки для плавательных принадлежностей [50016752];400;
Плавательные бассейны [50023341] ;1000;
;;
;;
;;
;;
;;
 Йога [50016663] ;;
;;
 Одежда для занятий йогой [50016664] ;400;
 Коврики для йоги [50016665] ;700;
 Мячи для йоги [50016668] ;900;
 Полотенца для йоги [50016670] ;300;
Прочие товары для йоги [50016677];300;
 Спортивные сумки для йоги [50016666];600;
Ленты для йоги [50016669];900;
 Носки для йоги [50016673];300;
Блоки для йоги [50016667] ;600;
 Ленты для растяжки [50016732];900;
 Массажные масла [50020045];200;
 Устройства для промывания носа [50018316];300;
Перчатки для йоги / Повязки на голову / Повязки на глаза [50016674];300;
Головные уборы для йоги [50016672];300;
 Накладки на грудь для йоги [50019707] ;500;
Коврики для йоги и аксессуары [50018317] ;300;
Обувь для йоги [50020050] ;300;
Платки для йоги [50016671];300;
 Манжеты [50020212];200;
 Подушки для йоги [50016675] ;300;
 Тренажеры для пилатеса и йоги [50019555];500;
 Товары для йоги [50020042];1300;
Гетры [50020211] ;150;
 Фигурки с изображением поз йоги [50020043];1300;
 Мячи для фитнеса [50020041] ;800;
;;
;;
;;
;;
;;
 Запчасти и комплектующие для велосипедов [50018771];2500;
Велосипедные рамы [50018762];2500;
 Седло для велосипедов [50018764] ;2500;
 Велосипедное тормозное устройство [50018765] ;2500;
 Педали для велосипедов [50018757];2500;
 Передачи для велосипедов [50018756] ;2500;
 Велосипедные рукоятки [50018761] ;2500;
 Велосипедные рули [50018759] ;2500;
Звездочки / Съемники / Оси [50018767];2000;
Велосипедные покрышки [50018752];2500;
Амортизаторы [50018949] ;2500;
 Велосипедные концентраторы [50018769];2500;
 Прочие запчасти [50018760] ;2500;
Подседельный штырь для велосипедов [50018763];2500;
Велосипедные камеры [50018751] ;2500;
Велосипедные колеса [50018950] ;2500;
 Велосипедные корзины [50018743] ;2500;
Велосипедные диски [50018753] ;2500;
Подножки для велосипедов [50018748];2500;
;2500;
Крылья для велосипедов [50018749];2500;
Велосипедные цепи [50019371];2500;
Кассета с задними звездочками [50019470];2500;
Велосипедные спицы [50018754] ;2500;
;;
;;
 Одежда для велоспорта [50010616] ;700;
Велоочки [50010619] ;350;
Велосипедные сумки [50010621] ;400;
 Велошлемы [50010618];600;
Мотоциклетные перчатки [50018775];200;
